Word,Definition
investigation,vannoma
investment,jarmakoń putoma
invincible,ajiznäviks
invisible,anejaviks
invitation,terdema
invite,terdems
invoice,faktura
involve,(mejsëjak) ulems
involvement,mejsëjak ulema
inwards,potmov; potmojonov
iodine,jod
iron,(metal) kšni
iron,gladäms; tokams uťugso
ironic,ironičeskoj
irrational,prevs asajeviks; avoľ rationaľnoj
irregular,avoľ regulärnoj
irrelevant,akandovicä
irresponsible,eś langs asajicä
irrigate,valnoms (paksä)
irrigation,(paksäń) valnoma
irritable,sëreďksëń maricä
irritate,savtoms kež
irritation,kežeń savtoma
is,(to be) ulems
island,usija
islander,usijań ericä
isolate,izolirovams
isolation,izoläcija
issue,(question) kevkstema
issue,(release) noldams
it,son
itch,kinevtema
itch,kinevtems
item,tev; kevkstema
itinerary,kilangoń jutavtoma
ivory,bivne; slonpej
ivy,pľuš
I,mon
Indian,(american) indejeć
Islam,islam
Islamic,museľmanoń
jacket,žiletka
jail,pekstamokudo
jam,(jelly) varennija
jammed,amaštovicä; apanžovicä (kenkš)
janitor,uborštik storož
jar,banka
jaw,pejsalazke
jealous,seľmeń sijadïca
jealousy,seľmeń sijadoma
jeep,uaz
jelly,džem
jellyfish,meduza
jet,(water) struja
jetty,mol
jewel,pitnejkev
jeweler,juvelir
jewelry,surkst-keďkst
job,(work) važodema tarka
jobless,važodemań tarkavtomo
join,sovams (kiń jutks)
joint,(bone) polda; eznë
joke,raksema; šutka
journal,žurnal
journalism,žurnalistika
journalist,žurnalist
journey,kilango
joy,kenärks
joyful,kenärksov
judge,(court) suďja
judge,1. (court) sudijams 2. (estimate) arsems (zäro merevliť)
judgement,sudijamo
juice,nola; sok
juicy,nolav
jump,ťokadems
junction,kiulo
jungle,žungeľ
junior,od
jurisdiction,??keď-aloči
juror,žuriń lomań
jury,žuri
just,vide
just,samaj
justice,videči
justification,čumoń noldavtïcä tuvtal
justify,maksoms čumoń noldavtïcä tuvtal
juvenile,od
January,jakšamokov
Jew,evrej
Jewish,1. evrej 2. evrejeń
July,meďkov
June,aštemakov
kangaroo,kenguru
keep,kirdems
kennel,psarnä
ketchup,kečup
kettle,sorgavks (pidemapeľ)
key,panžoma; panžomakečkaz
keyboard,klaviatura
kick,kučkordoma; pstidema (piľgsë)
kick,pstidems; pstijems; kučkordoms (piľgsë)
kidnap,salams (lomań)
kidnapping,lomaneń salamo
kidney,pičeťks; piče (rungoń peľks)
kill,kulovtoms; maštoms
killer,maštïcä; čavicä
kilo,kilo
kilometer,vajgeľpe
kind,(friendly) večkevicä
kind,(type) sort
kindness,jalgaksčiń nevtema
king,ineazor
kingdom,ineazormastor
kiss,palama
kiss,palams; palsems
kitchen,kuhinä; kaštomikeľks
kite,livtiguj
kitten,psaka levks; katkalevks
knead,ičems
knee,kumaža; kumanža
kneecap,kumažaprä
kneel,puľzäms
knife,pejeľ
knight,rïcaŕ
knit,kodams (spicaso)
knob,čaravtomka (radioń)
knock,stukams
knot,śulmo
know,sodams
know-how,maštomači; kolči
knowledge,sodamoči
knuckle,surpolda
Koran,Koran
label,etikeť
labor,1. (medical) čačtoma 2. (work) važodema
laboratory,laboratorija
lace,(material) vikšnevks
lack,araźči; araź
ladder,kustemat
lady,dama; avalomań
ladybug,lipalej; torabuka
lagoon,laguna
lake,eŕke
lamb,virez; revelevks
lame,čamorks
lamp,lampa
lampshade,abažur
land,moda; mastor
landing,(aircraft) valgoma
landlady,erämo tarkań azorava
landlord,erämo tarkań azoro
landmark,orijentir
landscape,pejzaž
landslide,pando prästo ujevks
lane,velejutko
language,keľ (kortamo)
lap,ele
larceny,salamo
lard,sïveľ boka; sala
large,pokš
larva,suks
larynx,kirgapaŕ
last,mejeľce
last,mejeľceks
lasting,kuvateń
latch,cinzeŕ
late,talaj
late,talajs
lately,mejeľce škasto
later,mejle
latest,mejeľce
latitude,kele; širota
laugh,rakamo
laugh,rakams
laughable,rakamoń
laughter,rakamo
launch,(missile) noldams (raketa)
laundromat,muśkema kudo
laundry,(clothes) muśkemat
lava,lava
law,zakon; koj
law-abiding,zakonoń koräs ericä
lawful,zakonoń koräs
lawless,zakontomo
lawsuit,sudoń tev
lawyer,advokat; ablokat
lay,1. alïjams 2. madstäms
layer,1. sloj; luv 2. plasta
layout,planirovka
laziness,nuzäksči
lazy,nuzäks
lead,(position) ikeľce (lomań)
lead,vetäms
leader,veticä; prävt; pokš
leadership,veticät
leaf,(tree; book) lopa
leak,varä (čudi pačkanzo)
leak,čudems; noldams (veď)
lean,nežedems (against mezenteń)
leap,ťokadems; krindävtoms
learn,tonavtnems
lease,(contract) sivedema; dogovor
lease,sivedems (uliparo; moda)
least,vesemede alamo
leather,keď (tejeź)
leave,tujems; kadoms
lecture,lekcija
ledge,(window) ušoń vaľmalango
leech,veďpejeľ; veŕpotij
left,1. kerš (avoľ viť) 2. kadoź
leg,piľge (avoľ lapa)
legal,zakonnoj
legally,zakonoń koräs
legend,legenda
legible,lovnoviks
legion,legion
legislation,zakonoń ladämo
legislature,mastorpromks
legitimate,(law) zakonoń koräs
leisure,jutkoška
lemon,limon
lemonade,limonveď
lend,maksoms velävtomga
length,kuvalmo
lengthen,kuvalgavtoms
lenient,čevte
lens,linza
leopard,leoparda
less,sede alamo
lessen,alamogavtoms; sajems
lesson,(book) urok
let,merms; maksoms
lethal,kulovtïcä
letter,(note) śorma
lettuce,salat (kapsta tikšeś)
level,vejkeť
level,uroveń; vaterpas
lever,(kepedemań) ologa
liability,(zakon ikele) otvetstvennosť
liable,(zakon ikele) otvetstvennoj
liaison,śulmavks
liar,kengelicä; mančicä
libel,pokordamo
libel,pokordams
liberal,liberal
liberate,oläkstomtoms
liberation,oläkstomtoma
liberty,oläksči; oläči
librarian,bibliotekaŕ; lovnomakudoń kirdij
library,biblioteka; lovnomakudo
license,pravat
license,tejems pravat
lick,nolsems
lid,veľks; veľtävks
lie,kengelema
lie,1. (position) aštems madeź 2. (untruth) kengeläms; mančems
lieutenant,lejtenant
life,erämo
life jacket ,idema žiletka / vajamodo žiletka
lifeboat,idemavenč
lifeguard,(basejnaso) vanstïcä
lifeless,kuloź
lift,(elevator) lift
lift,kepedems
ligament,(eznesë) san
light,(weight) šožda (stalmo)
light,1. valdo 2. tol
lighter,veŕgedemkat (mejsë kirvaztems)
lighthouse,majak
lightning,jondol
like,kondämo
like,večkevems; meľs tujems
likely,paräkoń
likeness,(mezeń-buti) molicä
likewise,istä žo
limestone,ašośovoń; izvestnäk
limit,pirävks
limit,pirävtoms
limp,čamorks
limp,čamordoms
line,(series) räd
linen,lijanaz
linguist,lingvist
linguistics,lingvistika
link,(connection) śulmavks
lion,ľova
lioness,avaka ľova
lip,turva
liquid,leťke
liquid,leťke
liquor,čeńks
lisp,pongoź keľsë kortamo; peľkeľsë kortamo
list,spiska
list,śormalems
listen,kunsoloms (to )
listener,kunsolïcä
literacy,śormas sodamo
literal,valdo vals
literally,valdo vals
literature,literatura
litigate,maksoms suds
litigation,kučolkskudo
little,viška; viškine
live,ericä
live,eräms
livelihood,präń trämo
lively,eräza
liver,makso
lizard,meťkaz
load,ulav; gruz
load,vačkams ulavs; gruzäms
loan,1. pandomga jarmakoń sajema 2. pandomga jarmakoń maksoma
loan,1. pandomga sajems jarmak 2. pandomga maksoms jarmak
lobby,karidor; hol; foje
lobster,omar
local,teskeń; toskoń
locate,1. mujems 2. putoms (firma kozońgak)
location,tarka
lock,panžoma (kenkšsëś avoľ kedsëś)
lock,pekstams panžomas
loft,polok lango
log,(wood) čočko
logic,logika
logical,meľga meľga jutïcä; logikań koräs
loneliness,(mezeńkisë) mezeń molems
lonely,vejkine; śkamon
long,1. kuvaka 2. kuvateń
longing,kiń kisë meleń molema pokš meleń ulema
longitude,kuvalmo (dolgota)
look,(glance) varštavks
look,varštams (at langs)
loose,oläčiń; oläso
loosen,oläkstomtoms; olälgavtoms
lord,azor
lorry,gruzovik
lose,1. jomavtoms (something mezejak) 2. iznävoms (in chess šahmatso; to someone kineńgak)
loser,iznävicä
loss,jomavks
lost,jomaź
lot,(much) lamo
lotion,loś-on
lottery,lotoreja
loud,gajtev
loud,marämga; veŕgavajgeľť
louse,sij
lovable,večkeviks
love,večkema
love,večkems
lovely,mazï
loving,večkicä
low,alkine
low,alo
lower,sede alkine
lower,alkińgavtoms
loyal,vernïj
loyalty,vernosť
lubricant,vadnemka
lubricate,vadnems ojsë
luck,ucäska
lucky,ucäskav
luggage,bagaž; kilangoń keskavt-pargt
lumber,lazt-čočkt
lump,1. pokoľ 2. šiška
lunch,čikunškań jarsamo
lung,teviläv
lust,(sexual) pohoť
lust,sajems pokš meľ
luxurious,mazïdejak mazï
luxury,mazï či
machine,mašina; motor
machine gun,pulemot
machinery,mašinań oborudovanija
machinist,slesaŕ (važodicä)
mad,1. kežev 2. azaŕks; azarś
magazine,(weapon) obojma
maggot,ličinka (suks)
magic,orožijamo; munämo
magician,seľmevelävtï; fokusnik
magistrate,sudicä
magnet,magnet
magnificent,parodojak paro; ejne paro
magnify,pokšolgavtoms
magnifying glass,lub
maid,virdoava
mail,počta
mail box,počtań pargo (počtovoj jaštik)
mailman,śormakandï; počtaľ-on
main,prävt; prävtoks
mainland,inemoda; materik
mainly,vasnäjak
maintain,(preserve) vanstoms; vanstoma
maintenance,podderžka; vitnema-petnema
major,(military) major
majority,sede lamo; pokš peľks
make,tejems
make-up,mazïčiń purnamopeľ; artomapeľ
male,ćora sïmeń; ćora; ćorań
malice,kežejči
malignant,kežej
mammal,levkspoti rakša; mlekopitajuštij
man,ćora; ćoralomań; lomań
manage,vetäms (tev)
manageable,vetäms maštoviks
management,upravlenija; veticät
manager,(teveń) veticä
mandatory,obäzateľnoj
mane,(lišmeń) sävdïksčeŕ
manhood,ćoraksči
manipulate,karmavtoms tejeme koda meleť
mankind,lomaneń raśke; lomań luv
manner,lad; tejevemań luv
manners,präń vetämo luv
manoeuvre,(military) mańovra
manslaughter,lomańmaštoma
manual,kedsë
manual,instrukcija; teveń vetämo kniga
manufacture,tejems; noldams (tovar)
manufacturer,(tovaroń) teji; tovaroń noldï
manure,1. naźom 2. vace
many,lamot
map,karta
marble,(material) mramor
march,marš
march,marširovams (jutams strojsë)
mare,eľde
marginal,pesë ašticä; asejedstëń
marina,venčeń sodnoma tarka
mark,tešks.― v. tejems tešks
market,bazar; najman
marksman,parste lednicä
marriage,venčamo; uŕvakstoma
marriage certificate,venčamodo-uŕvakstomado końov
married,1. mirdeń (woman ava) 2. uŕvakstoź (man ćora)
marry,polïjams; lisems mirdeneń (of a woman); uŕvakstoms (of a man)
marsh,bolota
martyr,mucävks lomań
martyr,mucäms
marvellous,divavtïcä
masculine,1. (grammar) ćora sïmeń 2. (male) ćorań
mask,čamaks
mass,1. (amount) lamoksči; kucä 2. (church) obednä
massacre,vereń valoma.― vt. valoms veŕ
massage,massaž
massage,tejems massaž
massive,pokštojak pokš
mast,torcej; mačta
master,(person) azor.― vt. pek parste maštoms tejeme
mat,kumbo
match,1. (equal) istämo žo; langs jutïcä 2. (fire) pićka 3. (sport) ťurema (sport).― v. (equal) vešnems langs molicä
matching,jalgaks
material,material
mathematics,matematika
mattress,matraz
mature,kenereź
maturity,pokšči; kenerema
maximum,vesemede lamo
may,merems
maybe,paräk; kije sodï
mayor,mër; ošoń pokš
me,1. moń 2. moneń; teń
meadow,lajme; ľom
meal,(food) jarsamo
mean,(unkind) kežev.― v. kandoms smusť
meaning,smusť
meaningful,lamo smusteń kandï
meaningless,smustteme
meantime,se škastonť
measure,onks; onkstamo; onkstavks.― v. onkstams
measurement,onkstamo
meat,sïveľ
mechanic,mehanik
mechanical,mehanikeń
mechanism,apparato
medal,(military) medaľ; orden
media,medija; kuläń pačtämot
mediate,ulems peľkstïcäń jutkso
medical,ormamenstämoń; medicinskoj
medicine,(substance) ormameńks
meditate,arsems mezejak tejems - a tejems
meditation,arsema
medium,kunškań; pele-
medium,sposob; sredstvo
meet,vastoms; vastovoms; puromoms
meeting,promks
melody,melodija
melon,dunä
melt,solams
member,(club) člen; lomań
membership,členstvo; lomanť
memorial,lemeń kundamo
memory,meľs ledstämo; prevsë-meľsë aštema
mend,(repair) vitnems
menstruate,(panartnëneń) molems
menstruation,panaroń molema
mental,preveń
mention,ledstämo
mention,ledstäms
menu,meńu
merchandise,tovart; mikšnemapeľ
merchant,ramsicä-mikšnicä
mercy,sedejmarämo
merge,(company) vejsëndävoms
merger,vejsëndävoma
merit,zasluga
mermaid,veď-ava
merry,kecicä
message,kulä; śormine
messenger,posïľnoj; kuläń kandïj
messy,rudazov; vadneź
metal,kšni
meter,metra
method,metod
microscope,mikroskop
middle,kunškań; kunška kuroń
middle,kunška
midnight,peleve
might,vij
mighty,vijev; ine
migrate,tujems ve tarkasto lijav erämo; jutams
mild,(weather) sëťme
mile,milä
militant,borocicä; vojnań večki
military,vojnań
military,ušmo; ušmo vij
milk,lovso
milk,potävtoms
mill,veďkev
mill,jažavtoms veďkevsë
million,million
millionaire,millioner
mind,prev; präudem
mine,moń
mine,(military) mina
mine field,minaso ozavtoń paksä; minïjań paksä
miner,šahťor
mineral,mineral
minimum,vesemede alamo
mining,gornoj promïšlennosť
minister,(government) ministra
ministry,(government) ministerstva
minority,viškace peľks; sede alamo
minus,-vteme
minute,višińkine
minute,minut; minuta
miracle,diva
mirror,1. čamavačamo; čavačama 2. vannomka
miscarriage,ejdeń kajamo
miscellaneous,mineń-śunoń
misconduct,beränstë präń vetämo
miserable,avoľ časijav; śumordïcä
misery,śumordoma
misinterpret,čaŕkodems avoľ videstë
misleading,manävtïcä
misplace,putoms atarkazo(nzo)
miss,(target) a pongoms (ceľs)
missile,(military) reaktivnoj snaräd
missing,(lost) jomaź
mission,(task) missija; tev
missionary,missioner
mist,suvodi pizeme
mistake,iľvedevks
misty,suvodi pizemev
misunderstand,avoľ istä čaŕkodems
misunderstanding,ačaŕkodema
misuse,avoľ istä noldams tevs
mix,čovoräms
mixer,(machine) čovorämka (mikser)
mixture,čovordavks
moan,sestavoma
moan,sestavtoms
mobile,mobiľnoj; marto(t) sajevicä
mobile phone,sotovoj telefon
mobility,jutamo; ve tarkaso aštema
mobilize,aravtoms tevs kundamo
mode,sposob
model,(object) modeľ
moderate,lamo avešicä
modern,nejeń škań
modernize,odkstomtoms
modification,lijakstomtoma; odolgavtoma
modify,lijakstovtoms; odolgavtoms
moist,leťke
moisture,leťke
molar,kamakš (pej)
moldy,kuštazov
mole,(skin) pazontešks
moment,minuta; seľmelip
momentary,seľgeń prams
monastery,monastïŕ
money,jarmak
money order,počtaso jarmakoń kučoma
monitor,vanoms (kiń; tezëń) meľga
monk,manah
monkey,obiźgan
monopoly,monopolija
monster,monstra; ineguj
month,kov (ška)
monthly,eŕva kovoń
monument,monument
mood,jožo; jožomarämo
moon,kov
moor,tarka; koso kasï veresk tikše
moose,särdo
mop,lentäjka
moral,tonavtoma; preveń maksoma
morality,etika; präń vetämo
more,sede lamo
more,ošťo
morning,valske
mortar,(military) minomot
mortgage,zaklad
mortuary,morg
mosque,mečeť
mosquito,seśke
moss,nupoń
most,vesemede lamo
moth,ki (karvo)
mother,ava (avoľ tetä)
mother-in-law,(husband's mother) avavt
motion,lïkamo; molemka
motionless,ve tarkaso ašticä
motivate,karmavtoms putoma meľ
motivated,meleń putï
motivation,motivacija
motive,motiv
motor,motor
motorcycle,motocikla
motorist,mašinań veticä
motorway,mašinań pokš ki
mountain,inepando
mourn,avaŕkšnems kiń-buti kisë
mourning,gornovamo; avardema; lajšema
mouse,čejeŕ
mouth,kurgo
mouthful,kurgopotmo
movable,šaštoviks
move,1. (location) ajgems 2. jutams od tarkas
movement,1. lïkamo 2. purnavoma
movie,kino
mow,nujems
much,lamo
muck,navoz; rudaz
mucus,navolo
mud,rudaz
muffler,glušiteľ
mugging,zoruvamo
muggy,leťke-lembe
mule,mul
multiple,lamońkirdań
multiply,lamolgavtoms
mumble,butordoms; botnoms
murder,maštoms (lomań)
muscle,rungosan; muskulä; sïveľ
museum,muzej
mushroom,pango (jarsamoń)
music,muzïka
musical,muzïkaľnoj
musician,muzïkant
must,erävoms
mustache,mujukt; nart; usat
mustard,gornicä
mute,čaťmonicä
mutual,kavto jondoń
my,moń
mysterious,salavań
mystery,salavači
myth,mif; pingejovks
March,kolmoce kov; ejśurokov
May,vetece kov; panžikov; naramokov
Middle East,Malaso čilisema jonks
Monday,pondeľnik
nail,(metal) eske
naked,štapo; štado
name,lem
name,lemdems
nap,(sleep) nuvsema
napkin,(table) salfetka
narration,jovtnema
narrow,teja
nasty,uksnovtïcä
nation,raśke; nacija
national,raśkeń; nacionaľnoj
nationality,nacionaľnosť
nationalize,nacionalizirovams
nationally,vese mastoroń vanovksso
native,eś mastoroń
native,eś mastorso čačoź
natural,prirodań čačolmań
naturally,sodaź; čačomga
nature,1. (character) kor 2. (world) perťpeľks; čačolma; priroda
nausea,uksnomań kepsetema
naval,flotoń; inevedeń
navel,počo
navigate,ukšnoms (venčsë); livtäms (joroplanso)
navigation,navigacija
navy,vojenno-morskoj flot
near,malaso
nearly,malav
neat,vańks
necessary,eräviks
necessity,eräviksči
neck,1. (throat) kiŕga 2. (back of the neck) sävdiks
necklace,kiŕgaks
need,asatïks; ??erävoma
need,erävoms
needle,salmuks
needless,aeräviks; lišnoj
needy,??lezdamoń veti
negative,avoľ paroń arsicä; otricateľnoj
neglect,nebrežnosť
neglect,a zabotäms; a kajams seľme
negligence,halatnosť
negligent,halatnoj
negotiate,jutavtoms tevde kortamo
negotiation,tevde kortamo
neighbor,šabra
neighborhood,šabrat; šabra kuro
neither,konaśkak (kavonest ejstë)
nephew,(sister's son) patänť ćorazo; sazoronť ćorazo
nerve,jožope; nerva
nervous,nervnoj; talnïcä
nest,(narmuneń) pizë
net,1. (fishing) altïma 2. seť
neuter,1. pičkavtoź 2. sïmevtems
neutral,nejtraľnoj
never,zärdojak
new,od
news,kulät
newspaper,gazet
next,meľga molicä; malace
next,mejle; sede tov
nice,vadrä; paro
niece,1. (brother's daughter) lelänť tejterezë; jalaksonť tejterezë 2. (sister's daughter) patänť tejterezë; sazoronť tejterezë
night,ve; (avoľ či)
nightmare,čopodavij; beräń on
nine,vejksë
nineteen,kemvejksëje
ninety,vejksëńgemeń
ninth,vejksëce
nipple,poteprä
no,vejkejak (araś)
no,(response) araś
nobody,kijak
nod,komsems präso
noise,šalt
noisy,šaltov; pižnicä
nominate,putoms; lemdems
none,(object) vejkejak
nonsense,čavovalt
noodle,lapša
noon,peleči
normal,eŕvačiń; normaľnoj
normally,čistë
north,pelevejonks; jakšamojonks
northern,pelevejonksoń
northwards,pelevejonov; jakšamo jonov
nose,sudo
nosey,kuvaka sudo; eŕva kov ecicä
nostril,sudovarä
not,a; avoľ
notable,sodavicä; pokščiń
notary,notarius
note,(music) nota
note,(write) putoms tešks; teškstams
notebook,keď-alksoń kniga
nothing,mezejak
notice,redäms
noticeable,seľms kajatïcä; nejavoma
notification,objavlenija; javolävks
notify,jovtams (veseń marämga)
notion,sodamoči; arsema
notorious,beräń slava marto
noun,lemval; suštestviteľnoj
nourish,andoms
nourishing,andïcä
novel,roman
novelty,??od tev
now,nej
nowhere,kosojak
nozzle,forsunka
nuclear,jadernoj
nude,kepe-štapo
nuisance,dosada; zïjan
numb,čuvtomoź
number,lomova val
numeral,cifra
numerical,cifrań
numerous,lamočiń
nun,monaška
nurse,medsestra
nursery,(tree) ozavtoma
nursing,medsestrań važodema
nursing home,častnoj lecämokudo
nut,pešte
nutrition,andoma
November,sundeŕkov
oak,tumo
oar,imle
oath,pežeť
oats,pineme
obedience,kunsoloma
obedient,kunsolïcä
obey,kunsoloms; tejems koda karmavtoź
obituary,kulïcädo śormadovks; nekrolog
object,(thing) objekt (meze-buti)
object,kajams karšo val
objection,karšo valoń kajamo
objective,celeń
obligation,teveń pandoma
obscene,beräń kargoć
obscenity,beräń śovnoma valt
obscure,čopoda; a čaŕkodeviks
observant,vese nejicä; redicä
observation,vese nejema
observe,vanoms; sledäms
obsession,preveń salï tev
obsessive,preveń salamoń
obsolete,taštomoź
obstacle,pirävks
obstruct,piräms
obstruction,pirävks
obtain,polučams; čočams; sajems
obtainable,dostupnoj; sajevicä
obvious,seľms kajatïcä; čaŕkodevicä
obviously,čaŕkodeź
occasion,tejevks; škań pramo
occasionally,zärdo-zärdo; škań-škań
occupation,okkupacija
occupy,1. zanäms; sajems 2. sajems (country mastor); ??okkupirovams
occur,lisems (tev)
occurence,(event) tamaša; slučaj
ocean,ineveď
octopus,sprut; kavksopiľge
odd,(strange) lomań; apak tonadoń
odor,čine
of,-ń
off,(light) madsteź
offend,(person) pokordams
offense,pokordamo
offensive,kajavomań
offer,predloženija (mezeń-buti)
offer,tejems predloženija; merems (mezde)
office,dolžnosť
officer,(military) oficer
official,služebnoj
official,prävt; činovnik
often,sejedstë
oil,oj
oil,vadnems ojsë
oily,ojev
ointment,vadnema pecämopeľ
old,1. sïre 2. tašto 3. umoń
olive,1. ojmaŕ 2. oliv
omit,noldams; molems
on,langso
on,(light) langso
once,vesť
one,vejke; ve
onion,čuŕka
only,vejkine
only,ansäk
only,ansäk
open,(building) panžado
open,panžoms
opening,varä
openly,veseń maräź
opera,opera
operate,(system) vetäms
operation,(system) vetämo
operator,(telephone) operator
opinion,meľ; arsema
opponent,opponent; karšo molicä
opportunity,udobnoj slučaj
oppose,molems karšo
opposite,karšo
opposite,karado karšo
opposition,1. karšo molema 2. karšo molicät
oppress,lepštäms kiń-buti
oppression,lepštämo
optical,seľmeń; vanovksoń
optician,optik
optimistic,optimistëń
option,kočkamo
optional,avoľ obäzateľnoj
or,eli
oral,(speech) preveń; valoń
orange,kiŕpeceń jakstere; oranževoj
orange,apeľsin
orchestra,orkestra
order,(military) karmavtovks
order,(military) karmavtoms
ordinary,eŕva čiń
ore,ruda; veŕ (modapotmoń)
organ,(body) rungoń peľks
organization,vejsëndävks; tejema-lädämo
organize,tejems-ladäms
oriental,aziań; čilisema jonksoń
origin,ušodovks; liśmaprä
original,vasence
originally,ušodomsto
ornament,mazïlgavtomka
orphan,uroz
orphanage,urozkudo
ostrich,straus
other,tona; ombo
otherwise,lijaks
our,minek
ourselves,eś pränok
out,ušov; potsto
outbreak,vzrïv; ušodoma
outcome,rezuľtat; savks
outdated,taštomoź
outdoors,ušov; ušoso; ušova virsë-paksäso
outer,langoń
outlook,vanovks
output,(production) produkcija
outrage,(anger) kežeń samo
outrageous,skandaľnoj; kežeń savtï
outside,ušov; ušoso; ušova
outside,(object) lango
outside,(open) ušov; ušoso; ušova
outsider,avoľ eś lomań
outskirts,kraj; pe
outstanding,(noticeable) redäviks
outward,(movement) langs
oval,ovaľnoj; aloń kondämo
oven,kaštomo
over,(above) veľks; veľkssë; veľkska
over,(remaining) lijadks; kadoviks
overcast,veľtäź peľsë; nusmanä
overcoat,paľto; šineľ
overdose,pokš doza (lišnoj)
overdue,(late) prosročennoj
overeat,jarsavoms (pek)
overflow,valovoms krajga; tujems langa
overload,putoms lišnoj gruz
overlook,??ulems vesemede vere
overnight,venzë langs
overrule,(court) ??ulems prävtoks
overrun,ulems lišnojks
overseas,inevedeń tombaľksëń
overtake,sasams
overthrow,sverženija
overtime,lišnoj čast važodema
overturn,prams; tuvtoms
overview,vannovks
overweight,lišnoj stalmo; pek staka
owe,ulems dolžinëks kineń-buti
owl,pokšpräkorš
own,eś
own,ulems
owner,azor
ownership,vladenija
ox,buka
oxygen,kislorod; čapamočačtï
oyster,ustrica
October,ožokov
pack,taparäms; tapardams
package,taparks
packing,upakovka
pact,dogovor
paddle,mile
paddle,miledems; panems (venč)
page,lopalango; jonks
pain,sëreďks
painful,pek sëredicä
painless,a sëredicä
paint,kraska
paint,artoms; krasäms
painter,artïcä
painting,artoma
pair,(two) -nst
palace,dvorec; azorkudo
pale,(face) lovtanä
palm,keď kunška
palm tree,paľma čuvto
pamper,koľnevtems; vaśkavtoms
pamphlet,brošura; pamflet
pan,pačalgo
paneling,čova lazso stamo
panic,panika; šalt
panther,pantera
pantry,kladovoj
pants,ponkst
paper,końov
paperclip,skrepka
parachute,parašut
parade,parad
paradise,raj
paragraph,abzac
parallel,istojamo žo; paralleľnoj
paralysis,paralič orma
paralyze,tokams (paralizovaź)
parasite,parazit
paratrooper,parašutist-desantnik
parcel,tapardavks; śulmo
pardon,čumoń noldamo
pardon,noldams čumo
parents,tetät-avat
parish,ve ceŕkovań lomanť
park,park
park,lotkavtoms (mašina)
parking,mašinań aravtoma tarka
parliament,parlament; mastorpromks
parole,paroľ
parrot,lïrkaj; popugaj
parsley,petruška
part,(piece) peľks
part,javoms; sezems
partial,peľksëń-peľks; avoľ cela
participant,učastnik
participate,ulems učastnikeks
participation,učastija; ulema
particular,osoboj
particularly,vesemede pek
partition,javšema; javoma
partner,(business) partńor (jalga)
partnership,vejsëń tev
party,1. partija 2. komanda
pass,1. (mountain) pandojutko; ušteľje 2. (permit) jutavtoma; pitnevteme bilet
pass,(travel) ikeľdems
pass out,jomavtoms jožo
passage,(entrance) ardoma tarka; jutamo tarka
passenger,passažir (ardïcä)
passion,akirdevicä večkema
passionate,akirdevicä večkemań
passive,passivnoj
passport,(ombo mastorov) pašport; pasport
password,paroľ
past,jutaź škań
past,(after) mejle
past,(time) jutaź ška
past,vakska
pastime,jutkoška
pastime pleasure,ojmemeńks
pastor,pop
pastry,tantej panevkst (pečenijat; präničkat)
pasture,stadań vanoma tarka
pat,vadäšams; šľopams
patch,panks
patch,pandoms (oršamopeľ)
patent,patent
patent,sajems merema (patent)
paternal,tetäń
paternity,tetäksči
path,jan; ki
patience,sedejkirdema
patient,sedejeń kirdi
patient,sëredicä
patriotic,patriotičeskoj; tiriń-mastoroń kisë ašticä
patrol,patruľ
pattern,sajevks; parcun
pause,pauza; ajutko; lotkamo
pause,lotksems
pave,veľtäms (asfaľtso)
pavement,(sidewalk) trotuar
paw,(kiskań; psakań) piľgelapa
pay,pandoma; pandovks; panks
pay,pandoms (jarmak)
payable,pandoviks
payment,pandoma
payroll,pandomań vedomosť
pea,ksnav
peace,sëťmelma; mir
peaceful,sëťme
peach,persik
peacock,pava
peak,ťokš
peanut,modapešte; arahiz
pear,dulä; gruša
pearl,eŕge
peasant,veleń lomań; sokicä-vidicä
pebble,gaľka; čova kev
pedal,čalgamo
pedestal,jur
pedestrian,jalgo jutïcä
peel,lukš
peel,vatkams (lukšt)
peg,(hook) tulo
pelican,pelikan (narmuń)
pelt,(rakšań) keď; ponakeď
pelvis,pukšoń lovažat
pen,(write) (śormadoma) tolga; ručka
penalize,štrafuvams
penalty,štraf
pencil,karandaš
pending,učicä
pending,učoź
penetrate,sovams pots; jutams pačka
penguin,pingvin
penicillin,pincilin
peninsula,modaulo; peľ-usija
penis,ereksan; erämo-aštema san
pension,pensija
people,1. lomanť 2. raśke
pepper,porćka
peppermint,??pereceń tikše
per,-zo/-zë
perceive,čaŕkodems; fatäms (mejs-)
percentage,procent
perceptible,nejaviks; redäviks
perception,čaŕkodema; redämo
perceptive,meľs sajicä; redicä
perch,užgal; okuń
perfect,asatïkstomo
perfect,parolgavtoms
perfection,asatïkstomo tevs bažamo
perform,tejems; nalksems
performance,tejema; nalksema
performer,(scena langso) nalksicä
perfume,čine; duhi
perhaps,paräk; kije sodï
perimeter,perimetra
period,1. (grammar) točka; bot 2. (time) ška jutko 3. (woman avań) panart
periodic,škań-škań
perjury,mančema
permanent,sval škań; sval škas
permissible,noldaviks
permission,noldamo
permit,(certificate) pravat
permit,merems (tejems)
persecute,lepštäms; naŕgams
persecution,lepštämo-naŕgamo
persist,putoms pokš meľ; aštems kemestë
persistence,meleń putoma
persistent,meleń putïcä; kemestë ašticä
person,lomań; lica
personal,eś präń
personality,personaž; lomań
