Word,Definition
applicable,(kodamojak) tevs kandoviks
applicant,präń vešicä
application,präń vešema (to kozońgak)
apply,1. vešems prä (to kozońgak) 2. vešems; anams (for mezejak)
appoint,aravtoms
appointment,aravtoma
appraisal,pitnejčiń putoma
appraise,putoms pitne
appreciate,čaŕkodems; maksoms pitne
appreciation,pitneń maksoma
apprehend,kundams; čaŕkodems; pelems
apprehension,pelema; melävtoma; kundamo; čaŕkodema
apprehensive,ezem-tarka amujicä
apprentice,praktikant; stažor
apprenticeship,praktikantksči; stažorksči
approach,malav samo; malavgadoma
approach,malavgadoms
approachable,dostupnoj
appropriate,ladicä
approval,jonks lovoma
approve,jonks lovoms
approximate,malava
approximately,malava
apricot,abrikos
apron,ikeľgapacä
aptitude,jorokči; talan
aquarium,akvarium
aqueduct,veďmolema??
arbitrary,koda pongś
arbitrate,ladäms peľkstamo
arbitration,peľkstamoń ladämo
arbitrator,posrednik; peľkstamoń ladicä
arc,čiŕke
arch,svod
archaelogist,arheolog
archaeology,arheologija; kezërde nauka
archaic,ťuštäń pingeń
archer,nalso ledicä
archery,nalso ledema
archipelago,usijat; usijapusmo
architect,arhitekt
architecture,arhitektura
archives,arhiv
archway,svod marto jutamo tarka
area,1. keleť-kuvalmot 2. kiŕks; paksä
arena,arena
argue,peľkstams
argument,peľkstamo
argumentative,peľkstamoso valmujevks
arid,kośke
arise,veľmems
arithmetic,arifmetika
arm,keď (lavtovsto keďkirgas)
arm,maksoms lednemapeľ
armament,lednemapeleń joramo; lednemapeľť
armchair,kresla
armed,ružija marto; lednemapeľ marto
armful,beŕoma
armistice,ťuremede lotkamo (zärïja škas)
armor,panciŕ
armory,lednemapeleń vanstoma tarka
armpit,kavalalks
arms,lednemapelť
army,ušmo; armeja
aroma,čine (vadrä)
around,peŕka; malaso
around,tija-tuva
arouse,kirvaztems; sïrgoztems
arrange,aravtoms luvs-lads; ladsems
arrangement,luvs-lads aravtoma; ladsema
array,aravtoma; oršamopeľ; pokš grupa
